"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!No bedroom","Margin of Error!!Median gross rent --!!Total!!No bedroom","Estimate!!Median gross rent --!!Total!!1 bedroom","Margin of Error!!Median gross rent --!!Total!!1 bedroom","Estimate!!Median gross rent --!!Total!!2 bedrooms","Margin of Error!!Median gross rent --!!Total!!2 bedrooms","Estimate!!Median gross rent --!!Total!!3 bedrooms","Margin of Error!!Median gross rent --!!Total!!3 bedrooms","Estimate!!Median gross rent --!!Total!!4 bedrooms","Margin of Error!!Median gross rent --!!Total!!4 bedrooms","Estimate!!Median gross rent --!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total!!5 or more bedrooms",
"8600000US01077","ZCTA5 01077","972","178","663","460","821","139","1051","131","1681","124","-","**","-","**",
"8600000US01079","ZCTA5 01079","1375","621","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01080","ZCTA5 01080","902","122","-","**","-","**","797","63","1049","129","-","**","-","**",
"8600000US01081","ZCTA5 01081","843","74","-","**","400","89","819","62","1138","433","-","**","-","**",
"8600000US01082","ZCTA5 01082","948","81","690","228","708","147","964","68","1167","53","2100","393","-","**",
"8600000US01083","ZCTA5 01083","653","141","-","**","475","118","779","227","-","**","-","**","-","**",
"8600000US01084","ZCTA5 01084","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01085","ZCTA5 01085","961","43","242","234","774","68","1040","50","1149","101","1119","674","-","**",
"8600000US01086","ZCTA5 01086","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01088","ZCTA5 01088","1085","402","-","**","-","**","1085","112","-","**","-","**","-","**",
"8600000US01089","ZCTA5 01089","868","28","600","32","804","44","953","28","1165","174","1349","130","-","**",
"8600000US01092","ZCTA5 01092","859","341","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01093","ZCTA5 01093","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01094","ZCTA5 01094","503","111","-","**","503","111","-","**","-","**","-","**","-","**",
"8600000US01095","ZCTA5 01095","768","174","-","**","545","409","798","661","-","**","2070","314","-","**",
"8600000US01096","ZCTA5 01096","1083","319","-","**","997","476","897","198","1464","516","1643","800","-","**",
"8600000US01097","ZCTA5 01097","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01098","ZCTA5 01098","758","323","-","**","667","312","-","**","-","**","-","**","-","**",
"8600000US01103","ZCTA5 01103","841","89","855","232","837","86","782","503","-","**","-","**","-","**",
"8600000US01104","ZCTA5 01104","851","97","409","107","336","95","973","40","995","69","1606","1105","-","**",
"8600000US01105","ZCTA5 01105","658","49","573","219","521","156","828","48","960","100","878","226","-","**",
"8600000US01106","ZCTA5 01106","1380","103","475","430","1317","145","1489","229","-","**","2039","1362","-","**",
"8600000US01107","ZCTA5 01107","696","77","382","106","310","64","681","232","943","86","717","215","1284","504",
"8600000US01108","ZCTA5 01108","928","37","602","110","597","186","944","45","1058","80","1350","64","1145","209",
"8600000US01109","ZCTA5 01109","921","68","767","605","390","52","805","68","1115","64","1240","183","1603","190",
"8600000US01118","ZCTA5 01118","799","285","-","**","-","**","-","**","1128","127","1369","390","-","**",
"8600000US01119","ZCTA5 01119","770","201","-","**","650","130","740","74","966","266","1496","351","-","**",
"8600000US01128","ZCTA5 01128","1714","156","-","**","-","**","-","**","1690","1072","-","**","-","**",
"8600000US01129","ZCTA5 01129","1094","153","-","**","313","56","1123","100","1277","404","-","**","-","**",
"8600000US01151","ZCTA5 01151","953","98","-","**","741","63","874","90","1073","73","1400","100","-","**",
"8600000US01199","ZCTA5 01199","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01201","ZCTA5 01201","853","31","493","178","716","27","913","32","1023","58","1350","194","-","**",
"8600000US01220","ZCTA5 01220","745","33","-","**","597","85","781","118","956","66","1015","629","-","**",
"8600000US01222","ZCTA5 01222","1536","1002","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01223","ZCTA5 01223","1118","384","-","**","-","**","-","**","1673","398","797","731","-","**",
"8600000US01224","ZCTA5 01224","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01225","ZCTA5 01225","995","250","-","**","-","**","817","418","1188","194","-","**","-","**",
"8600000US01226","ZCTA5 01226","848","105","-","**","678","137","1120","257","723","120","-","**","-","**",
"8600000US01229","ZCTA5 01229","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01230","ZCTA5 01230","918","175","-","**","767","22","1103","95","1625","1146","679","148","-","**",
"8600000US01235","ZCTA5 01235","751","79","-","**","658","167","792","170","1073","352","-","**","-","**",
"8600000US01236","ZCTA5 01236","1338","375","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01237","ZCTA5 01237","1103","163","-","**","945","17","1225","253","1198","497","-","**","-","**",
"8600000US01238","ZCTA5 01238","887","178","-","**","703","84","1090","194","1019","342","-","**","-","**",
"8600000US01240","ZCTA5 01240","910","92","-","**","889","131","871","544","2083","1612","-","**","-","**",
"8600000US01242","ZCTA5 01242","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01243","ZCTA5 01243","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01244","ZCTA5 01244","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01245","ZCTA5 01245","1139","94","-","**","1125","180","-","**","1208","192","-","**","-","**",
"8600000US01247","ZCTA5 01247","738","33","129","13","560","163","817","114","824","79","1053","330","-","**",
"8600000US01253","ZCTA5 01253","658","200","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01254","ZCTA5 01254","1300","610","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01255","ZCTA5 01255","725","445","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01256","ZCTA5 01256","729","440","-","**","-","**","-","**","-","**","725","104","-","**",
"8600000US01257","ZCTA5 01257","-","**","-","**","290","49","-","**","-","**","-","**","-","**",
"8600000US01258","ZCTA5 01258","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01259","ZCTA5 01259","1050","366","-","**","-","**","1050","366","-","**","-","**","-","**",
"8600000US01260","ZCTA5 01260","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01262","ZCTA5 01262","769","148","-","**","636","49","1078","351","1603","605","-","**","-","**",
"8600000US01264","ZCTA5 01264","850","727","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01266","ZCTA5 01266","1793","396","-","**","-","**","-","**","1969","1287","-","**","-","**",
"8600000US01267","ZCTA5 01267","955","144","-","**","641","273","922","196","1218","195","-","**","-","**",
"8600000US01270","ZCTA5 01270","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01301","ZCTA5 01301","866","45","647","75","761","54","1008","63","1004","219","1200","594","-","**",
